"K","lik"
25,-6.67096850759082
25,-8.25626051181007
25,-7.74472640630966
25,-7.90070014333922
25,-6.98018583200903
25,-7.70198279252226
25,-7.14988791147155
25,-7.74384367953127
25,-7.49375272857745
25,-6.79590817936163
25,-6.51734765747873
25,-8.29758358939753
25,-6.71190610095358
25,-7.14144904560007
25,-7.56276977555777
25,-7.61978320211485
25,-7.65704190017065
25,-7.52167076502587
25,-7.43807871285432
25,-7.4077986023343
25,-7.40922167713595
25,-6.95658658635897
25,-8.21137649742557
25,-7.88348105602945
25,-7.43875541174991
25,-7.8515546266562
25,-8.01288696068721
25,-7.42734232292239
25,-7.28220714678152
25,-7.24934506959197
25,-7.70207868251293
25,-7.41684597891764
25,-8.15817018827377
25,-7.3541682397394
25,-7.15519078543187
25,-7.60965321661654
25,-6.82192239652651
25,-7.54797005730787
25,-7.69180017407405
25,-7.23433183178697
25,-7.41757951185377
25,-8.29580479973524
25,-6.86741169504462
25,-8.06011573374812
25,-7.08367221291044
25,-7.63103889004659
25,-7.93887697084443
25,-7.06258603670566
25,-7.04324003506071
25,-7.16833832799399
25,-7.90916092551801
25,-7.37525102467924
25,-7.08951367386704
25,-7.70909727598574
25,-6.81192311459356
25,-7.64112399465148
25,-7.42118704087661
25,-6.1278969442039
25,-7.31858417600879
25,-8.10167211427487
25,-7.61954934922257
25,-7.17974844493323
25,-7.36585933289215
25,-7.42765428886154
25,-7.11597958302393
25,-7.60847708027529
25,-7.18987603957743
25,-6.96077528236553
25,-6.71470635082147
25,-7.52703046673573
25,-7.19541864502964
25,-7.45418630160318
25,-7.98187522654153
25,-7.79942452468593
25,-7.13061968167221
25,-7.65809140728949
25,-7.17672000071859
25,-7.74054266125504
25,-7.03542535723894
25,-6.85054678776313
25,-6.99004479186601
25,-7.9624214032496
25,-8.05519274912328
25,-6.90286357584012
25,-7.64133669661496
25,-7.36137762297362
25,-6.82620764354787
25,-8.31785931912905
25,-7.43940801320612
25,-8.02773798416351
25,-7.34366865461673
25,-7.02031527701552
25,-7.7613281275797
25,-7.40354866179744
25,-7.71651185114797
25,-7.45341633909828
25,-7.49114097910271
25,-7.38699967379657
25,-8.19934859514967
25,-7.88786773891732
25,-7.56163885948917
25,-7.70399237787483
25,-6.71395980975368
25,-7.38620489316663
25,-8.5689104205356
25,-7.88419080307273
25,-7.79321927830334
25,-7.95370013475585
25,-7.06127883957347
25,-7.87431623616535
25,-7.54283952037109
25,-8.48210393627257
25,-7.60822605618675
25,-7.4391821059876
25,-7.17465826552463
25,-7.96217294843745
25,-7.34350147555274
25,-7.47990004909501
25,-6.79934073746778
25,-7.37720423440234
25,-7.57987738480931
25,-7.83666237545873
25,-7.96170184697131
25,-7.34408565729265
25,-7.79782787445863
25,-8.1396004693669
25,-7.06399624680432
25,-7.56859455468522
25,-7.28671870953345
25,-7.84798232869612
25,-8.0253008297867
25,-7.59877352523238
25,-7.86715131043738
25,-7.31651824226197
25,-7.81755574577021
25,-7.24197061969399
25,-7.37441712315774
25,-8.22879311148215
25,-7.44426676241394
25,-8.18457726769751
25,-7.21588734486158
25,-7.38883881179569
25,-7.18995256896462
25,-7.22618118621945
25,-7.02633242328136
25,-8.13470211265716
25,-7.74075574149695
25,-6.69514335115087
25,-7.5108027403264
25,-7.87609459399859
25,-7.5307092419024
25,-7.5693370808035
25,-7.89050185350301
25,-7.66851656608767
25,-7.08629841790051
25,-7.65917517860606
25,-7.35389500249063
25,-7.2782384553609
25,-7.01709079907046
25,-7.34182805580235
25,-8.40877925490827
25,-6.85061685208298
25,-7.74928599664318
25,-7.20876681620519
25,-7.12899194777238
25,-7.14025526880389
25,-6.82545187941073
25,-7.36319161399961
25,-7.41716808662126
25,-7.06822075454969
25,-7.4621987411902
25,-6.83038201189508
25,-7.52301983365033
25,-6.90978238395533
25,-7.03414960080172
25,-6.86448263639856
25,-7.52215431290598
25,-6.58795444801555
25,-7.40325137758892
25,-8.01130483156013
25,-6.92774470516586
25,-7.76808384809219
25,-7.46256147666021
25,-7.01729007088275
25,-7.16847005123659
25,-7.34607370552524
25,-7.55430826834935
25,-7.45167040976493
25,-7.0886723072405
25,-7.66152687162181
25,-7.74698651822532
25,-7.1656550594066
25,-7.71290742408942
25,-7.3937223844152
25,-7.60733203543077
25,-7.88130876263678
25,-7.18427781396723
25,-7.3776346692835
25,-7.86434774670187
25,-7.02399572755381
25,-8.17531008087908
25,-7.4349936959118
25,-7.70203355597576
25,-7.12902265757123
25,-6.55035458363376
25,-7.58405816386561
25,-6.21071518134176
25,-7.23081104937089
25,-7.41182121422663
25,-7.4022356543889
25,-7.3658478095042
25,-7.22490449454482
25,-8.41027165344944
25,-7.28767622708772
25,-7.31306794963314
25,-8.04308542490661
25,-6.65497826495239
25,-7.32098963212214
25,-7.25805582417216
25,-7.73751352466905
25,-7.11811186298261
25,-6.56506824053915
25,-6.97954832364199
25,-7.51476524318539
25,-7.49750551983992
25,-7.2821571566995
25,-7.74820836407068
25,-7.50990659901636
25,-7.61645358561565
25,-8.05209645330844
25,-7.24056739624012
25,-7.10061171921114
25,-8.17744802143281
25,-6.79175229032133
25,-7.68899049776164
25,-7.22220142374133
25,-7.06182231715031
25,-7.48181318551435
25,-7.61913844428412
25,-7.81276797296822
25,-6.74723524017685
25,-7.22296337176714
25,-7.20838127204582
25,-7.63477573527055
25,-6.93589582920219
25,-7.84120367340552
25,-6.77060558749091
25,-7.48160625860458
25,-6.66874480510841
25,-7.65907887827986
25,-7.21119577983682
25,-7.5447400194478
25,-7.89518886898929
25,-7.85964661645207
25,-7.75156771880885
25,-8.58747525368014
25,-7.70075648260995
25,-6.60798140080805
25,-7.27850729244403
25,-8.05323512538963
25,-6.71985146279635
25,-7.17270485625015
25,-7.5677575278645
25,-6.26195490497508
25,-7.05074424118465
25,-6.0831192275737
25,-7.57644384313931
25,-7.95266657895297
25,-7.54929515838666
25,-7.40573664173798
25,-6.80578734731199
25,-5.87234629907952
25,-7.87149583514645
25,-6.75590923270829
25,-7.96020678847054
25,-6.99561774375029
25,-7.02294594892848
25,-7.53186493272148
25,-7.19109852957766
25,-6.70464668387937
25,-6.82136646860085
25,-7.52696577456758
25,-6.88728036514339
25,-7.47754077873954
25,-7.19202511378147
25,-8.64625383755332
25,-7.30748319801317
