"tests","times"
50,1.02199292182922
100,1.81477499008179
150,2.51743984222412
200,3.21761202812195
250,3.76862287521362
300,4.5259051322937
350,5.26415300369263
400,5.52242207527161
450,6.34216785430908
500,6.70144009590149
550,7.32198286056519
600,8.00364303588867
650,8.56569695472717
700,9.44555115699768
750,9.70429086685181
800,10.4240181446075
850,10.910964012146
900,11.4960198402405
950,12.0625281333923
1000,12.5329730510712
