"K","lik"
30,-7.85151330125305
30,-7.97174718327787
30,-7.03953255216515
30,-7.97652481318124
30,-7.58473853268057
30,-8.01659284370507
30,-7.79771987719689
30,-7.99553994379961
30,-7.07370918200887
30,-8.02710230670593
30,-7.42202009825139
30,-7.71987148520254
30,-6.91702218652225
30,-7.38297065602113
30,-7.07616608215547
30,-7.72226755698759
30,-7.61549574967241
30,-7.34456335325978
30,-8.99865141504528
30,-7.92454487195793
30,-7.08618277420414
30,-7.60427537263982
30,-7.2230871502869
30,-7.83016211120371
30,-7.63955425170469
30,-7.84119456871099
30,-7.80904983468947
30,-7.25306443608734
30,-7.93523256624619
30,-7.48738439967051
30,-7.35942283864308
30,-8.70927418241358
30,-7.50256215545537
30,-7.78129136881334
30,-7.14174559013862
30,-7.52859434615834
30,-7.40093702621501
30,-7.33526504192754
30,-6.89586142729509
30,-8.02431735077603
30,-7.52033083382328
30,-7.08519803653665
30,-7.63793712634422
30,-7.57053102553819
30,-7.84978027927841
30,-7.67413112816845
30,-7.70284445022073
30,-7.54123764787576
30,-7.06191102444728
30,-7.78622115480116
30,-7.49139892835383
30,-8.0720857594473
30,-7.07570216822569
30,-7.31229789500759
30,-8.48814583671815
30,-7.85198031948691
30,-7.73238787960477
30,-7.2057781591115
30,-7.08454778437346
30,-7.2101090966213
30,-6.84269001082328
30,-7.56096405559165
30,-7.45588691559537
30,-7.32194825385132
30,-7.47813861400645
30,-6.91303162335852
30,-7.94023225392375
30,-7.52476881695934
30,-7.08578980604102
30,-6.80882747726554
30,-7.61851199024556
30,-6.95252666569404
30,-7.80176381251541
30,-8.23481141821195
30,-6.91943536659969
30,-8.35161057913845
30,-8.30929794083317
30,-7.25227447743918
30,-7.375177802437
30,-7.49041708425387
30,-7.67803042616087
30,-7.31706178041633
30,-6.89353553737772
30,-7.62447781388616
30,-7.68808766924747
30,-7.2147598832532
30,-7.55763283965891
30,-7.49454785780289
30,-7.54767297285099
30,-7.29343910869397
30,-6.21229608804097
30,-7.5564441901989
