"K","holdout","lik"
60,1,-7.53919718423569
60,1,-8.11662269525535
60,1,-6.67626331616272
60,1,-7.64549379233629
60,1,-8.0360719476852
60,1,-7.10672510568875
60,1,-6.9125350079682
60,1,-8.2896599869841
60,1,-5.93167089863701
60,1,-7.0753115587323
60,1,-7.15633649907906
60,1,-7.03039211486588
60,1,-6.44089059262757
60,1,-8.36353240200155
60,1,-7.52452920380657
60,1,-7.35922778722363
60,1,-7.19651850992004
60,1,-7.88091533819623
60,1,-7.37620361641968
60,1,-7.55570645111572
60,1,-7.18168241366798
60,1,-7.42017180721328
60,1,-8.1318407989913
60,1,-7.35701201218151
60,1,-7.1243503060096
60,1,-6.83565142413633
60,1,-7.67956489752513
60,1,-8.36310236836919
60,1,-7.83070609302726
60,1,-7.16186005058054
60,1,-7.09480774661113
60,1,-8.18970111917219
60,1,-7.5073376534217
60,1,-7.29084329025491
60,1,-7.78880065839323
60,1,-6.90834871058498
60,1,-7.90578363123373
60,1,-7.78936445665649
60,1,-7.39081477281772
60,1,-7.38728640663121
60,1,-6.72878340154898
60,1,-6.89932736998803
60,1,-7.45876610019085
60,1,-7.55698204480431
60,1,-8.29998431492944
60,1,-7.82597209874359
60,1,-8.10980458449708
60,1,-7.18434199220487
60,1,-7.89752847547002
60,1,-7.9574079899097
60,1,-8.27537833988727
60,1,-8.35431004477081
60,1,-8.05845059811535
60,1,-8.29496778331899
60,1,-6.61178594972581
60,1,-7.89492629349595
60,1,-6.69879981914967
60,1,-7.0980469906249
60,1,-7.44306212571671
60,1,-7.5938375449455
60,1,-7.62445455876002
60,1,-7.57654397606629
60,1,-7.79433261402476
60,1,-7.03843262882538
60,1,-8.15510892272635
60,1,-7.03500350195752
60,1,-7.89057508936454
60,1,-8.09770684930466
60,1,-7.39661680664339
60,1,-7.57572458910325
60,1,-6.61035307377337
60,1,-6.73640633349359
60,1,-7.44314218432334
60,1,-7.17644022306833
60,1,-7.60884164676559
60,1,-6.85565426760703
60,1,-7.27513541769571
60,1,-7.23015034269496
60,1,-7.22860689546977
60,1,-7.40813118057755
60,1,-7.48332557514834
60,1,-7.97079982168746
60,1,-8.00912152258068
60,1,-7.51002743761439
60,1,-7.4675973780048
60,1,-7.87063306176299
60,1,-7.73228227199679
60,1,-7.4746397185538
60,1,-8.36599812473472
60,1,-7.68491938001288
60,1,-7.09384353724272
60,1,-8.0472500363676
60,1,-7.62390092526377
60,1,-8.37211003514611
60,1,-7.55362913101615
60,1,-7.9147221191829
60,1,-6.79488346618937
60,1,-7.43961764354887
60,1,-7.37781589244115
60,1,-7.81985875724168
60,1,-7.92590925029845
60,1,-7.81299817910801
60,1,-7.66467066695987
60,1,-7.92593172442334
60,1,-7.96840033834968
60,1,-7.59290311365008
60,1,-7.83953861582342
60,1,-7.62915615481806
60,1,-8.1031187211902
60,1,-7.40592792258023
60,1,-7.18466481576819
60,1,-8.37524860757686
60,1,-7.24981545859201
60,1,-7.12492523384636
60,1,-6.91565162847729
60,1,-7.47033792798987
60,1,-6.56843831981211
60,1,-7.60650940924141
60,1,-7.64292150776199
60,1,-7.34441727920047
60,1,-7.3604243074431
60,1,-7.25023235687777
60,1,-7.5020388215674
60,1,-7.44612476252793
60,1,-7.62209613927442
60,1,-7.97259281064396
60,1,-7.0041483820464
60,1,-7.99524046401645
60,1,-6.5278540933564
60,1,-7.68096787774835
60,1,-7.48391151943286
60,1,-7.63905161250025
60,1,-8.05292682597617
60,1,-7.3053018419071
60,1,-6.88038554744143
60,1,-7.7589251076085
60,1,-7.8894215394119
60,1,-7.82228975040288
60,1,-7.70912211483475
60,1,-6.91800916873494
60,1,-7.70312704655494
60,1,-7.45091976810487
60,1,-7.2308029967558
60,1,-8.02097972667805
60,1,-7.57752621394611
60,1,-7.80262620066201
60,1,-7.16240751695682
60,1,-7.56756330139303
60,1,-7.27792706333009
60,1,-7.61486098131782
60,1,-7.19833171109137
60,1,-7.46928615256685
60,1,-7.22312379611726
60,1,-7.04586815153918
60,1,-7.58640273769678
60,1,-7.76217466405565
60,1,-7.04314899931702
60,1,-7.64985666620017
60,1,-8.06358273261244
60,1,-7.1277906417118
60,1,-6.93060989575541
60,1,-7.70658508220555
60,1,-7.3942447641423
60,1,-7.05486006678824
60,1,-7.00857324509277
60,1,-6.94265657098879
60,1,-8.56983032709237
60,1,-7.23364738946709
60,1,-7.68522292836298
60,1,-7.4423694177913
60,1,-7.2501403087868
60,1,-6.97463715512732
60,1,-7.51249098302958
60,1,-7.39490449558158
60,1,-7.11538451897217
60,1,-7.50059244177322
60,1,-7.69774050818639
60,1,-6.74111445805539
60,1,-7.32248964967905
60,1,-7.01926789319998
60,1,-8.11520605895622
60,1,-6.89082129216539
60,1,-7.77480709110449
60,1,-7.29849763564829
60,1,-7.45273232168472
60,1,-7.73533594894627
60,1,-6.79085177652575
60,1,-7.45838267545931
60,1,-6.94018257642965
60,1,-6.98681109200338
60,1,-8.15153720551291
60,1,-6.93917290745696
60,1,-7.25145759030011
60,1,-6.70320134925491
60,1,-7.76029160855454
60,1,-6.22618156752887
60,1,-8.00761218277272
60,1,-7.03812783357373
60,1,-7.30828877648465
60,1,-8.37662310035333
60,1,-7.10469031298114
60,1,-8.26818611602082
60,1,-7.45765521625605
60,1,-6.93679974840254
60,1,-7.34101041748622
60,1,-7.52095139972006
60,1,-7.51670889710845
60,1,-7.69542101232853
60,1,-7.84687442846556
60,1,-7.65732529383413
60,1,-7.63780847302935
60,1,-6.98928839076403
60,1,-8.30308371749769
60,1,-7.71072482336571
60,1,-7.75795767079747
60,1,-7.22740906702336
60,1,-7.05594670095018
60,1,-7.77177362147708
60,1,-7.54583745651553
60,1,-7.56862252224144
60,1,-6.91858599912983
60,1,-7.84466044496524
60,1,-7.45381755693135
60,1,-7.68181405806291
60,1,-6.91623895097995
60,1,-6.67902500075428
60,1,-7.42816945202893
